"","X","eventid","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","Cluster"
"2398",86351,201205170023,2012,5,17,0,4,6,33.895519,68.763192,1,0,1,1,1,0,0,0,0,3,20,108,153,0,0,6,8,4,1
"2399",51792,199702170003,1997,2,17,0,159,3,-12.950681,-74.56077,3,0,1,1,1,-9,0,1,0,2,2,18,159,0,0,5,5,2,7
"2400",24563,198704130009,1987,4,13,0,45,3,5.126434,-74.385545,1,0,1,1,1,0,1,1,0,1,14,67,45,0,0,5,3,1,8
"2401",39380,199111250008,1991,11,25,0,195,11,4.855349,31.567781,1,0,1,1,1,0,0,1,0,3,14,75,195,0,0,6,11,7,8
"2402",45291,199406180001,1994,6,18,0,603,8,54.336787,-5.825816,1,0,1,1,1,0,0,1,0,1,14,69,216,0,0,5,3,6,3
"2403",142003,201707310006,2017,7,31,0,95,10,34.053467,44.933075,2,0,1,1,1,0,0,1,0,3,3,23,95,0,0,6,16,1,6
"2404",131766,201607130025,2016,7,13,0,160,5,6.85243,124.39858,2,0,1,1,0,1,0,0,0,2,4,34,160,0,0,5,5,3,8
"2405",96390,201308220042,2013,8,22,0,182,11,1.808302,44.695141,1,0,1,1,0,1,1,1,0,2,4,36,422,0,0,6,11,3,3
"2406",28839,198810240015,1988,10,24,0,45,3,8.63781,-72.73464,1,0,1,1,1,0,0,1,0,6,14,77,151,1,0,5,2,0,6
"2407",141378,201707070008,2017,7,7,0,95,10,33.303566,44.371773,1,0,1,1,1,0,0,1,0,3,14,74,95,0,0,6,16,0,1
"2408",103054,201403150036,2014,3,15,0,182,11,2.059819,45.326115,1,0,1,1,1,0,0,1,1,3,1,8,182,1,0,6,15,1,3
"2409",43391,199211280003,1992,11,28,0,183,11,-32.882803,27.399676,1,0,1,1,1,0,0,1,0,3,1,2,183,0,0,6,7,4,2
"2410",829,197109290001,1971,9,29,0,603,8,54.607712,-5.95621,1,0,1,1,1,0,0,1,0,3,1,8,233,0,0,6,16,2,3
"2411",30888,198906160022,1989,6,16,0,222,3,6.926948,-68.524715,4,0,1,1,1,0,0,1,0,6,14,68,222,0,0,5,2,0,3
"2412",131591,201607060025,2016,7,6,0,160,5,7.307946,125.684331,1,0,1,1,1,0,0,1,0,1,14,77,160,0,0,5,3,2,6
"2413",116879,201503280017,2015,3,28,0,153,6,33.925278,71.018611,2,0,1,1,0,1,0,1,0,2,4,27,153,0,0,5,5,15,3
"2414",102838,201403090047,2014,3,9,1,214,9,46.108479,33.691284,1,0,1,1,1,0,0,1,0,6,10,53,214,0,0,5,5,0,1
"2415",29743,198902110011,1989,2,11,0,138,5,16.726206,97.911457,1,0,1,1,1,0,0,1,0,2,3,23,138,0,0,5,2,8,3
"2416",82916,201110290001,2011,10,29,1,4,6,35.905116,64.818013,1,1,1,1,1,0,0,1,0,6,12,61,4,1,0,13,23,2,6
"2417",103498,201403260041,2014,3,26,0,95,10,33.349159,43.784199,1,0,1,1,1,0,1,1,0,3,2,18,95,0,0,6,16,0,3
"2418",43601,199212120011,1992,12,12,0,45,3,8.57451,-73.09339,1,1,1,1,1,0,0,1,0,3,21,108,45,0,0,6,16,0,1
"2419",135044,201611020048,2016,11,3,0,205,5,6.786407,101.14827,1,1,1,1,1,0,1,1,0,3,13,64,205,1,0,6,16,0,7
"2420",19915,198505020003,1985,5,2,0,159,3,-11.967368,-76.978462,1,0,1,1,1,0,0,1,0,3,14,82,159,0,0,6,16,0,1
"2421",23958,198701150012,1987,1,15,0,159,3,-11.967368,-76.978462,1,0,1,1,1,0,1,1,0,3,1,3,159,1,0,6,16,0,7
"2422",117606,201504190051,2015,4,19,0,147,11,5.587374,5.862173,1,0,1,1,1,0,0,1,0,7,21,108,147,0,0,13,23,0,3
"2423",130865,201606120011,2016,6,12,0,95,10,35.827975,43.389449,2,0,1,1,1,0,0,0,0,3,20,107,95,0,0,6,15,0,1
"2424",92461,201303300003,2013,3,30,0,200,10,36.6059,37.559427,2,0,1,1,1,0,0,1,0,1,15,85,200,1,0,9,23,1,4
"2425",57546,200102250003,2001,2,24,0,6,10,33.80658,2.878025,1,0,1,1,1,0,0,1,0,3,4,34,6,1,0,6,16,3,8
"2426",93225,201304280047,2013,4,28,0,113,10,32.867867,13.189067,1,0,1,1,1,0,1,1,0,6,10,55,95,0,0,13,23,0,2
"2427",51764,199702120008,1997,2,12,1,45,3,6.242026,6.125295,5,0,1,1,1,0,0,1,0,6,14,77,45,0,0,13,23,2,8
"2428",36306,199102020009,1991,2,2,0,30,3,-7.314627,-50.046415,1,0,1,1,1,-9,0,1,0,1,14,82,30,0,0,5,3,1,8
"2429",122734,201509220048,2015,9,22,0,160,5,6.89638,126.010585,1,0,1,1,0,1,0,0,0,2,4,29,160,0,0,5,2,1,7
"2430",30068,198903130004,1989,3,13,0,159,3,-10.925868,-74.873099,1,0,1,1,1,0,0,1,0,2,3,25,159,0,0,5,2,53,2
"2431",72924,200903230010,2009,3,23,0,153,6,31.834328,70.90905,1,0,1,1,1,0,0,1,0,2,14,84,153,0,0,5,5,1,4
"2432",103654,201403300065,2014,3,30,0,4,6,36.421421,64.896222,3,0,1,1,1,0,0,1,0,3,14,76,4,0,0,6,11,1,6
"2433",126914,201602070007,2016,2,7,0,95,10,33.303566,44.371773,1,0,1,1,1,0,0,1,0,3,14,74,95,0,0,6,16,2,1
"2434",97428,201310020020,2013,10,2,0,153,6,26.098269,65.475736,3,0,1,1,0,1,1,0,0,2,4,29,153,0,0,5,5,0,3
"2435",49211,199601260004,1996,1,26,0,92,6,26.912434,75.787271,1,0,1,1,1,0,0,1,0,3,2,15,92,0,0,6,16,0,1
"2436",59855,200211280002,2002,11,28,0,97,10,32.496086,35.498352,1,0,1,1,1,0,0,1,0,3,14,71,97,0,0,6,7,8,3
"2437",54519,199809080002,1998,9,8,0,153,6,24.891115,67.143311,1,0,1,1,1,0,0,1,0,1,2,14,153,0,0,5,2,1,2
"2438",141993,201707300024,2017,7,30,0,173,10,26.587351,49.984146,1,0,1,1,1,0,0,1,0,3,3,23,173,0,0,6,11,1,7
"2439",23053,198607310009,1986,7,31,0,159,3,-11.967368,-76.978462,1,0,1,1,1,0,1,1,0,3,2,15,159,0,0,6,16,0,7
"2440",66090,200703200007,2007,3,20,0,95,10,33.303566,44.371773,1,0,1,1,1,1,0,1,0,3,14,67,95,0,0,6,15,1,1
"2441",93739,201305150036,2013,5,15,0,4,6,35.98073,67.570854,4,0,1,1,1,0,0,1,0,1,22,109,4,0,0,5,5,2,2
"2442",63940,200602190020,2006,2,19,0,92,6,18.9,81.35,3,0,1,1,1,0,0,1,0,2,14,67,92,1,0,5,5,2,1
"2443",21617,198601040013,1986,1,4,0,183,11,-26.252697,43.14357,5,0,1,1,0,1,0,1,0,3,4,34,183,0,0,6,8,2,2
"2444",60843,200311210004,2003,11,21,0,94,10,35.724533,51.40519,1,0,1,1,1,0,0,1,0,3,7,46,216,0,0,8,20,0,8
"2445",138411,201703150047,2017,3,15,0,183,11,-23.918839,29.443324,1,0,1,1,1,0,0,1,0,7,14,67,147,0,0,8,18,0,3
"2446",126588,201601280054,2016,1,28,0,160,5,6.862806,124.443649,1,0,1,1,1,0,0,0,0,3,19,101,160,0,0,6,12,0,7
"2447",107021,201406220026,2014,6,22,0,182,11,2.204822,41.619648,1,0,1,1,0,1,0,1,0,9,4,27,422,0,0,13,23,0,8
"2448",41970,199208050012,1992,8,5,0,69,8,43.296482,5.36978,1,0,1,1,1,0,0,0,0,3,1,5,69,0,0,6,16,0,1
"2449",65237,200609230007,2006,9,23,0,205,5,6.700696,101.433915,4,0,1,1,1,0,0,1,0,3,3,25,205,0,0,6,16,0,5
"2450",117560,201504180006,2015,4,18,0,160,5,6.862806,124.443649,1,0,1,1,1,0,0,1,0,3,2,21,160,1,0,6,11,0,1
"2451",16377,198312130003,1983,12,13,0,43,3,-33.469115,-70.641997,2,0,1,1,1,0,0,1,0,3,21,107,43,1,0,6,16,0,2
"2452",139835,201705150034,2017,5,15,0,130,1,19.770775,-104.366758,1,0,0,1,1,1,0,0,0,1,10,53,130,0,0,5,5,1,3
"2453",133025,201608220053,2016,8,22,0,209,10,39.179131,39.828445,1,0,1,1,1,0,1,1,0,2,2,21,209,0,0,5,2,0,3
"2454",79117,201011020020,2010,11,2,0,95,10,33.303566,44.371773,1,0,1,1,1,0,1,1,0,3,3,22,95,0,0,6,15,21,3
"2455",20888,198508280009,1985,8,28,0,61,2,13.69288,-122.280022,5,0,1,1,0,1,0,1,0,2,4,29,61,0,0,5,2,6,8
"2456",17716,198405240001,1984,5,24,0,43,3,-33.366238,-70.505302,1,0,1,1,1,-9,0,1,0,3,14,81,43,0,0,6,16,0,1
"2457",44402,199403120003,1994,3,12,0,168,11,-1.949011,30.057852,1,0,1,1,1,0,0,1,0,3,2,18,168,0,0,6,7,0,7
"2458",61731,200410250008,2004,10,25,0,95,10,36.354145,43.14357,1,0,1,1,1,0,1,1,1,3,2,18,95,0,0,6,15,1,7
"2459",27812,198806140017,1988,6,14,0,92,6,31.633078,74.878288,1,0,1,1,1,-9,0,1,0,2,3,25,92,0,0,9,23,2,4
