"","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","nwound","property","Cluster"
"5576",2017,5,12,0,95,10,36.354145,43.14357,1,0,1,1,1,0,0,0,0,3,20,107,95,0,0,6,15,0,0,0,5
"5577",2014,2,12,0,153,6,30.860421,69.822057,1,0,1,1,1,0,0,1,0,2,1,10,153,0,0,6,11,0,0,1,6
"5578",1983,10,4,0,61,2,13.491242,-88.173134,1,0,1,1,1,0,0,1,0,3,21,107,61,0,0,6,16,0,0,1,7
"5579",1989,12,30,0,92,6,34.08374,74.789902,1,0,1,1,1,-9,0,0,0,1,3,25,92,0,0,5,3,0,1,0,3
"5580",2007,11,5,0,182,11,2.059819,45.326115,1,0,1,1,1,0,0,1,0,2,3,25,182,0,0,5,5,1,0,0,6
"5581",1996,1,16,0,69,8,43.395936,-1.45459,1,0,1,1,1,0,0,1,0,3,2,21,69,1,0,6,16,0,0,1,6
"5582",2014,10,26,0,147,11,10.733352,12.149605,1,0,1,1,1,0,0,1,0,2,14,74,147,0,0,5,5,5,0,0,5
"5583",1982,9,16,0,160,5,18.790977,22.526968,5,0,1,1,1,0,0,1,0,1,2,15,160,1,0,13,21,5,0,0,8
"5584",2015,1,22,0,95,10,34.192537,43.886423,3,0,1,1,1,0,0,1,0,3,4,34,95,0,0,6,17,6,10,1,6
"5585",1983,8,24,0,159,3,-23.716667,125.600998,5,0,1,1,1,0,0,1,0,1,8,49,159,0,0,5,3,2,0,0,7
"5586",2016,1,23,0,160,5,16.514602,121.748104,1,0,1,1,1,0,0,1,0,7,2,15,160,1,0,13,23,0,0,1,8
"5587",2015,8,15,0,182,11,4.73538,45.2024,1,1,1,1,0,1,0,1,0,9,4,34,182,0,0,13,23,25,40,0,8
"5588",2008,3,16,0,153,6,33.68745,71.516037,1,0,1,1,1,0,0,1,0,3,8,49,153,0,0,6,16,0,0,1,6
"5589",2014,10,28,0,214,9,48.676155,38.916222,1,1,1,1,0,1,1,0,0,2,4,36,214,0,0,5,5,0,0,0,6
"5590",2015,3,5,0,603,8,55.20143,-6.25518,1,0,1,1,1,0,0,0,0,7,3,22,233,1,0,8,20,0,0,0,8
"5591",1997,6,21,0,45,3,8.838333,-75.479722,1,0,0,1,1,1,0,1,0,1,14,67,45,0,0,5,5,2,0,0,7
"5592",1977,2,19,0,603,8,54.607712,-5.95621,1,0,1,1,1,0,0,1,0,1,14,69,233,0,0,5,5,1,0,0,5
"5593",2005,6,30,0,92,6,32.925224,75.135264,3,0,1,1,1,0,0,1,0,2,14,67,92,0,0,5,5,5,0,-9,2
"5594",2012,12,26,0,160,5,6.687966,124.678774,1,0,1,1,1,0,0,1,0,3,1,7,160,0,0,6,16,0,3,-9,2
"5595",1978,11,25,1,45,3,6.153669,-75.37416,1,0,1,1,1,0,0,1,0,6,1,9,45,0,0,13,26,0,0,0,8
"5596",2000,3,17,0,45,3,4.40464,-74.38643,1,0,1,1,1,0,0,1,0,3,4,34,45,1,0,6,12,2,4,1,7
"5597",2016,11,23,0,160,5,6.986543,124.479103,1,0,1,1,0,1,0,1,0,3,4,34,160,0,0,6,12,0,0,0,6
"5598",1990,8,1,0,8,11,-9.487515,14.355478,1,1,1,1,1,0,1,1,0,3,21,107,8,0,0,6,16,0,0,1,5
"5599",1971,2,20,0,217,1,25.774591,-80.214195,1,0,1,1,1,1,0,1,0,2,3,25,217,1,0,5,4,1,0,0,7
"5600",2012,7,26,1,228,10,14.54397,49.12458,1,0,1,1,0,1,0,1,0,6,4,34,228,1,0,5,5,2,0,0,6
"5601",1987,11,28,0,69,8,48.856644,2.34233,1,0,1,1,1,0,0,1,0,3,10,54,69,0,0,6,16,0,0,1,5
"5602",2017,5,22,0,4,6,35.378056,64.774444,1,0,1,1,1,0,0,1,0,2,22,109,4,0,0,5,5,5,0,0,5
"5603",2016,4,2,0,92,6,23.904998,86.193927,1,1,1,1,1,0,0,1,0,3,3,23,92,0,0,6,8,0,6,0,6
"5604",2017,8,31,0,95,10,33.669689,44.381317,1,0,1,1,0,1,0,1,0,3,4,29,95,0,0,6,16,0,3,0,6
"5605",2015,6,6,0,160,5,14.343387,121.066591,2,0,1,1,1,0,0,1,0,1,2,15,160,0,0,5,5,1,0,0,6
"5606",2015,11,25,0,160,5,7.209594,124.241966,1,0,1,1,0,1,0,1,0,3,4,27,160,0,0,6,7,0,0,1,6
"5607",1981,10,24,0,45,3,8.42414,-76.786797,1,0,1,1,1,0,0,1,0,9,14,75,45,0,0,13,23,3,2,0,8
"5608",2015,8,25,0,41,11,5.764638,20.671952,3,0,1,1,1,0,0,1,0,2,19,99,41,0,0,5,5,42,0,1,5
"5609",1972,11,10,0,603,8,54.607712,-5.95621,1,0,1,1,0,1,0,1,0,2,4,34,216,0,0,5,5,1,0,0,6
"5610",1988,1,20,0,61,2,13.716667,-88.116667,1,0,1,1,1,0,0,1,0,2,14,75,61,0,0,5,2,0,0,1,7
"5611",1986,9,18,0,159,3,-11.967368,-76.978462,1,0,1,1,1,0,0,1,0,3,7,45,43,0,0,6,28,0,0,1,7
"5612",2008,11,5,0,167,9,43.047456,44.665806,1,0,1,1,1,0,0,1,1,3,19,99,167,0,0,6,13,12,40,-9,2
"5613",1985,8,2,0,61,2,13.663669,-88.172009,1,0,1,1,0,1,0,1,0,2,4,29,61,0,0,5,2,6,0,1,7
"5614",2013,9,20,0,113,10,32.760422,22.635265,1,0,1,1,1,0,0,1,0,1,15,85,113,0,0,5,5,1,0,0,5
"5615",2009,8,30,0,4,6,31.650027,65.650018,1,0,1,1,1,0,0,1,0,3,14,67,4,0,0,6,17,3,4,0,5
"5616",2011,11,27,0,147,11,11.840929,13.141459,1,0,1,1,1,0,1,1,0,2,14,77,147,1,0,5,2,1,0,-9,2
"5617",2015,1,20,0,603,8,54.607712,-5.95621,1,0,1,1,1,0,0,0,0,3,20,107,233,0,0,6,31,0,0,0,5
"5618",2011,1,18,0,153,6,33.528893,71.056122,1,0,1,1,1,0,0,1,0,2,14,67,153,0,0,5,5,4,0,0,5
"5619",1989,1,24,0,92,6,30.210994,74.945475,1,0,1,1,1,0,0,0,0,1,2,15,92,0,0,5,3,0,1,0,6
"5620",2011,4,15,0,93,5,-6.715073,108.563747,1,0,1,1,1,0,0,1,1,3,3,22,93,1,0,6,13,1,29,0,6
"5621",2015,7,5,1,95,10,36.354145,43.14357,1,0,1,1,1,0,0,1,0,6,14,67,95,0,0,13,23,1,0,0,8
"5622",2014,1,31,0,147,11,10.889103,13.627587,1,0,1,1,1,0,0,1,0,2,15,85,147,0,0,5,5,11,0,1,5
"5623",2014,8,15,0,160,5,6.473055,125.007076,1,0,1,1,1,0,0,1,0,2,1,13,160,0,0,5,2,0,0,-9,2
"5624",1985,1,2,0,45,3,3.429344,-76.516037,1,0,1,1,1,-9,0,1,0,7,19,99,45,0,0,8,19,0,0,1,3
"5625",2016,8,16,0,153,6,34.624138,71.186036,3,0,1,1,0,1,0,0,0,9,4,27,153,0,0,13,21,0,0,0,8
"5626",2005,6,6,1,74,7,42.224159,43.9632,1,0,1,1,1,1,0,1,0,6,14,71,74,0,0,13,23,0,0,0,8
"5627",2015,1,1,0,228,10,13.129726,45.385571,1,0,1,1,1,0,0,0,0,1,17,94,228,0,0,6,15,0,2,1,5
"5628",2008,8,8,0,205,5,6.772404,101.292062,1,0,1,1,1,1,0,1,0,2,14,67,205,0,0,9,23,1,0,0,5
"5629",2016,9,25,0,92,6,10.367312,77.980291,1,0,1,1,1,0,1,1,0,7,22,109,92,1,0,8,20,0,0,1,5
"5630",2001,7,7,0,6,10,36.266667,2.216667,1,1,1,1,1,0,0,1,0,2,14,71,6,1,0,5,5,16,0,0,5
"5631",2016,1,12,0,37,11,10.631559,14.658782,2,0,1,1,1,0,0,0,1,3,20,109,37,0,0,6,13,0,0,0,5
"5632",2016,12,4,0,95,10,36.354145,43.14357,1,0,1,1,1,0,0,0,0,3,20,107,95,0,0,6,15,0,0,0,5
"5633",2016,6,30,0,195,11,13.018546,23.856894,2,0,1,1,1,0,0,1,0,6,14,67,195,0,0,5,5,0,3,0,5
"5634",2015,9,20,0,113,10,32.069286,20.151144,1,0,1,1,1,0,1,1,0,2,14,75,113,0,0,6,11,0,2,1,5
"5635",1989,3,29,0,45,3,4.667128,-74.106056,1,0,1,1,1,-9,0,1,0,1,1,12,45,0,0,5,3,1,0,0,3
"5636",1983,11,2,0,145,2,13.174408,-86.14846,5,1,1,1,0,1,0,1,0,2,4,29,145,0,0,5,2,23,0,1,7
"5637",2017,4,3,0,95,10,36.354145,43.14357,1,0,1,1,1,0,1,1,0,3,14,75,95,0,0,6,11,0,2,-9,2
"5638",2014,4,20,0,205,5,6.265458,101.26306,3,0,1,1,1,0,0,1,0,2,14,73,205,0,0,5,2,3,1,1,5
"5639",2009,12,25,0,153,6,33.908578,71.070055,3,0,1,1,1,0,0,1,0,3,8,49,153,1,0,6,17,0,0,1,6
"5640",1997,6,18,0,153,6,24.891115,67.143311,1,0,1,1,1,-9,0,1,0,1,20,111,153,0,0,5,5,1,0,0,3
"5641",1992,11,2,0,92,6,24.18,88.27,3,0,1,1,1,0,0,1,0,7,2,15,92,0,0,8,18,0,0,1,8
"5642",1981,8,27,0,45,3,10.47692,-73.25049,1,0,1,1,1,0,0,1,0,1,2,15,45,0,0,13,23,0,0,1,7
"5643",2014,5,24,0,95,10,34.057549,44.260048,1,0,1,1,1,0,0,1,1,3,1,1,94,0,0,6,15,5,6,1,6
"5644",2014,6,27,0,4,6,31.516535,65.400057,1,0,1,1,1,0,0,1,0,3,3,23,4,0,0,6,8,4,0,1,6
"5645",2001,6,27,0,34,11,-3.939348,29.624446,2,1,1,1,1,0,1,1,0,2,19,99,34,1,0,5,5,9,2,-9,2
"5646",2017,3,4,0,95,10,36.376823,42.448875,1,0,1,1,1,0,0,1,0,3,20,106,95,0,0,6,17,2,2,1,5
"5647",1990,12,14,0,45,3,6.242026,-75.564766,1,0,1,1,1,0,0,1,0,3,1,11,45,0,0,6,16,0,10,1,7
"5648",2016,10,23,0,95,10,33.889561,42.623253,1,0,1,1,1,0,0,0,0,3,20,109,95,0,0,6,17,0,0,0,5
"5649",2016,5,27,0,92,6,23.192003,84.522219,2,0,1,1,1,0,0,1,0,6,14,68,92,0,0,5,4,2,0,0,5
"5650",1976,1,2,0,130,1,20.673343,-103.344177,1,0,1,1,1,0,0,1,0,2,3,26,130,0,0,5,2,2,2,1,7
"5651",2009,8,14,0,153,6,25.044537,66.874672,1,0,1,1,1,0,0,1,0,3,1,8,153,0,0,6,15,1,15,1,6
